Contact Ref,Pool,Origin,Response,Qualified,Appointment,Booked Job,Job Value
rehearsal-contact-000,open estimate,storm,yes,yes,yes,yes,19500
rehearsal-contact-001,past customer,retail,yes,yes,yes,yes,19500
rehearsal-contact-002,missed call,retail,yes,yes,yes,yes,19500
rehearsal-contact-003,open estimate,retail,yes,yes,yes,no,
rehearsal-contact-004,past customer,retail,yes,yes,yes,no,
rehearsal-contact-005,missed call,storm,yes,yes,yes,no,
rehearsal-contact-006,open estimate,retail,yes,yes,no,no,
rehearsal-contact-007,past customer,retail,yes,yes,no,no,
rehearsal-contact-008,missed call,retail,yes,yes,no,no,
rehearsal-contact-009,open estimate,retail,yes,yes,no,no,
rehearsal-contact-010,past customer,storm,yes,yes,no,no,
rehearsal-contact-011,missed call,retail,yes,yes,no,no,
rehearsal-contact-012,open estimate,retail,yes,no,no,no,
rehearsal-contact-013,past customer,retail,yes,no,no,no,
rehearsal-contact-014,missed call,retail,yes,no,no,no,
rehearsal-contact-015,open estimate,storm,yes,no,no,no,
rehearsal-contact-016,past customer,retail,no,no,no,no,
rehearsal-contact-017,missed call,retail,no,no,no,no,
rehearsal-contact-018,open estimate,retail,no,no,no,no,
rehearsal-contact-019,past customer,retail,no,no,no,no,
rehearsal-contact-020,missed call,storm,no,no,no,no,
rehearsal-contact-021,open estimate,retail,no,no,no,no,
rehearsal-contact-022,past customer,retail,no,no,no,no,
rehearsal-contact-023,missed call,retail,no,no,no,no,
rehearsal-contact-024,open estimate,retail,no,no,no,no,
rehearsal-contact-025,past customer,storm,no,no,no,no,
rehearsal-contact-026,missed call,retail,no,no,no,no,
rehearsal-contact-027,open estimate,retail,no,no,no,no,
rehearsal-contact-028,past customer,retail,no,no,no,no,
rehearsal-contact-029,missed call,retail,no,no,no,no,
rehearsal-contact-030,open estimate,storm,no,no,no,no,
rehearsal-contact-031,past customer,retail,no,no,no,no,
rehearsal-contact-032,missed call,retail,no,no,no,no,
rehearsal-contact-033,open estimate,retail,no,no,no,no,
