Contact Ref,Pool,Origin,Response,Qualified,Appointment,Booked Job,Job Value
contact-000,missed call,storm,yes,yes,yes,yes,21000
contact-001,open estimate,retail,yes,yes,yes,yes,21000
contact-002,past customer,retail,yes,yes,yes,yes,21000
contact-003,missed call,retail,yes,yes,yes,yes,21000
contact-004,open estimate,storm,yes,yes,yes,no,
contact-005,past customer,retail,yes,yes,yes,no,
contact-006,missed call,retail,yes,yes,yes,no,
contact-007,open estimate,retail,yes,yes,yes,no,
contact-008,past customer,storm,yes,yes,yes,no,
contact-009,missed call,retail,yes,yes,no,no,
contact-010,open estimate,retail,yes,yes,no,no,
contact-011,past customer,retail,yes,yes,no,no,
contact-012,missed call,storm,yes,yes,no,no,
contact-013,open estimate,retail,yes,yes,no,no,
contact-014,past customer,retail,yes,yes,no,no,
contact-015,missed call,retail,yes,yes,no,no,
contact-016,open estimate,storm,yes,yes,no,no,
contact-017,past customer,retail,yes,yes,no,no,
contact-018,missed call,retail,yes,no,no,no,
contact-019,open estimate,retail,yes,no,no,no,
contact-020,past customer,storm,yes,no,no,no,
contact-021,missed call,retail,yes,no,no,no,
contact-022,open estimate,retail,yes,no,no,no,
contact-023,past customer,retail,yes,no,no,no,
contact-024,missed call,storm,no,no,no,no,
contact-025,open estimate,retail,no,no,no,no,
contact-026,past customer,retail,no,no,no,no,
contact-027,missed call,retail,no,no,no,no,
contact-028,open estimate,storm,no,no,no,no,
contact-029,past customer,retail,no,no,no,no,
contact-030,missed call,retail,no,no,no,no,
contact-031,open estimate,retail,no,no,no,no,
contact-032,past customer,storm,no,no,no,no,
contact-033,missed call,retail,no,no,no,no,
contact-034,open estimate,retail,no,no,no,no,
contact-035,past customer,retail,no,no,no,no,
contact-036,missed call,storm,no,no,no,no,
contact-037,open estimate,retail,no,no,no,no,
contact-038,past customer,retail,no,no,no,no,
contact-039,missed call,retail,no,no,no,no,
